2024-04-04 13:17:29,04/04/2024 13:19:19,RROREAS 264,27080483,%P%01CRM1XR,393.5,99.71,gold,concentration,0.261,0.03,0.309,0.032,PhotonAssay PAAU02,0.845,0.104,OREAS,264,Result OK,PAAU02,2024-04-04-08:58:03,0.075,Passive
2024-04-04 12:52:37,04/04/2024 12:54:22,RROREAS 229B,27080483,%P%01CRM33G,445.99,100.0,gold,concentration,11.7,0.235,11.95,0.3,PhotonAssay Self-Certified PAAU02,0.979,0.025,OREAS,229b,Result OK,PAAU02,2024-04-04-08:58:03,0.478,Active
2024-04-04 12:28:20,04/04/2024 12:30:11,RRBLANK,27080483,%P%1000HW7Z,565.3,100.0,gold,concentration,-0.015,0.005,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-08:58:03,,Active
2024-04-04 11:09:16,04/04/2024 11:11:26,RRG319-9,27080482,%P%01CRM3TL,535.53,100.0,gold,concentration,97.161,1.619,100.0,2.5,PhotonAssay Self-Certified PAAU02,0.972,0.025,GEOSTATS,G319-9,Result OK,PAAU02,2024-04-04-08:58:03,4.0,Active
2024-04-04 10:45:05,04/04/2024 10:46:54,RROREAS 237,27080482,%P%01CRM34R,484.5,100.0,gold,concentration,2.086,0.071,2.21,0.084,PhotonAssay Self-Certified PAAU02,0.944,0.038,OREAS,237,Result OK,PAAU02,2024-04-04-08:58:03,0.1657499999999999,Active
2024-04-04 10:20:34,04/04/2024 10:22:26,RRBLANK,27080482,%P%1000HW8D,570.5,100.0,gold,concentration,-0.001,0.005,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-08:58:03,,Active
2024-04-04 09:55:35,04/04/2024 09:57:24,RROREAS 264,27080481,%P%01CRM1XZ,407.5,99.38,gold,concentration,0.272,0.029,0.309,0.032,PhotonAssay PAAU02,0.881,0.104,OREAS,264,Result OK,PAAU02,2024-04-04-08:58:03,0.075,Passive
2024-04-04 09:33:13,04/04/2024 09:35:06,RROREAS 229B,27080481,%P%01CRM3DP,436.54,99.93,gold,concentration,12.202,0.245,11.95,0.3,PhotonAssay Self-Certified PAAU02,1.021,0.025,OREAS,229b,Result OK,PAAU02,2024-04-04-08:58:03,0.478,Active
2024-04-04 09:08:30,04/04/2024 09:10:23,RRBLANK,27080481,%P%1000HW9P,553.3,100.0,gold,concentration,-0.003,0.005,0.0,0.005,PhotonAssay Self-Certified PAAU02,-inf,inf,BLANK,BLANK,Result OK,PAAU02,2024-04-04-08:58:03,,Active
2024-04-04 09:06:41,04/04/2024 09:08:47,OREAS523,20240404.01_AD_HOC_AU,%P%01CRM1XP,475.3,100.0,gold,concentration,1.296,0.084,1.04,0.027,fire-assay,1.246,0.026,OREAS,523,Result OK,PAAU02,2024-04-04-08:58:03,0.078,Non-monitoring
